waveData1,waveData2,waveData3,waveData4,waveData5,waveData6,waveData7,waveData8,waveData9,waveData10,waveData11,waveData12,waveData13,waveData14,waveData15,waveData16,waveData17
4,0.278452714,0.15358249,0.068681165,0.067504347,12.125,6.0625,4.409090909,1.865384615,2.108695652,-0.007313118,0.078915248,0.068781388,0.071428571,D02_Colony_11.xlsx,0.138053586,3.7054
2,0.583806782,0.571035887,0.353966092,0.299481334,12.125,6.928571429,3.730769231,2.204545455,2.852941176,0.000116477,0.123568008,0.127652295,0.051020408,D02_Colony_13.xlsx,-0.868557883,2.2411
3,0.819128398,0.63217051,0.27306222,0.162995994,12.125,24.25,6.928571429,2.694444444,4.409090909,0.002068237,0.278201313,0.069814582,0.06122449,D02_Colony_16.xlsx,0.096400657,2.1618
4,0.873093577,0.86808364,0.532948989,0.410974665,24.25,12.125,6.928571429,4.85,3.730769231,0.000435018,-0.167575861,0.203153191,0.06122449,D02_Colony_17.xlsx,0.033020391,1.8199
3,0.485901323,0.306994346,0.239781822,0.235651587,16.16666667,9.7,6.0625,3.730769231,3.03125,-0.002511275,-0.159221197,0.087330301,0.06122449,D02_Colony_18.xlsx,0.0492046,2.0763
3,0.376820697,0.246426156,0.140881191,0.113229707,13.75,6.875,3.4375,2.5,2.115384615,0.016115112,0.068116896,0.084953925,0.053571429,D02_Colony_2.xlsx,0.077428231,3.047
3,0.561946463,0.335363616,0.171859587,0.158602091,14.75,3.6875,2.681818182,1.84375,2.107142857,-0.00863409,0.014918006,0.272930702,0.066666667,D02_Colony_4.xlsx,0.043965712,3.0687
4,0.425625092,0.192758146,0.18083397,0.097960973,12.5,6.25,4.6875,2.884615385,2.083333333,-0.002963087,0.020900815,0.129597418,0.065789474,D02_Colony_5.xlsx,0.147321826,3.5188
1,0.955654558,0.652818885,0.492030117,0.402339366,9.7,5.388888889,6.928571429,2.694444444,4.409090909,-0.001615113,0.483959918,0.11115305,0.071428571,D02_Colony_6.xlsx,-0.022507954,1.7481
3,0.208084201,0.206804476,0.178252013,0.119735643,11.5,2.3,4.928571429,3.833333333,2.875,-0.003494437,-0.001447749,0.124656597,0.071428571,D02_Colony_8.xlsx,-0.997768318,3.642
4,0.511090182,0.236838492,0.187799568,0.125429694,13.83333333,5.928571429,3.772727273,2.184210526,1.886363636,0.000500653,0.020803956,0.15544574,0.05952381,F02_Colony_11.xlsx,0.090359177,2.9212
4,0.397793385,0.210867625,0.209336575,0.184349305,15.16666667,7.583333333,5.6875,3.25,2.275,0.008516127,0.099967902,0.182886859,0.054347826,F02_Colony_12.xlsx,0.062182434,2.9163
1,0.821230818,0.662628542,0.5272405,0.348682367,13.16666667,4.9375,6.583333333,2.323529412,2.821428571,-0.003308534,-0.003553867,0.089324042,0.075,F02_Colony_17.xlsx,0.124596555,1.8346
3,0.576647773,0.279951285,0.24105619,0.229245103,14.5,6.214285714,4.833333333,3.954545455,3.107142857,0.00208823,0.113403528,0.216810006,0.056818182,F02_Colony_19.xlsx,0.117933441,2.6063
2,0.59667021,0.504039848,0.346712756,0.332195389,10.625,5.3125,7.083333333,2.361111111,3.541666667,-0.001167592,0.193105084,0.119069577,0.081395349,F02_Colony_23.xlsx,0.042446318,1.9878
3,0.677698771,0.622909507,0.332304417,0.20621932,13.5,4.05,5.785714286,2.892857143,2.025,0.000756136,0.200013548,0.139181863,0.073170732,F02_Colony_25.xlsx,-0.002643803,1.9713
4,0.451882465,0.436554381,0.338058684,0.246373857,12.125,8.083333333,4.409090909,5.388888889,3.730769231,0.003384857,0.107176767,0.117206928,0.081632653,F02_Colony_26.xlsx,-0.119822732,2.4774
4,0.41987891,0.295462079,0.292088906,0.094970816,12.125,24.25,8.083333333,6.0625,3.464285714,-0.00606125,-0.00825362,0.146931824,0.071428571,F02_Colony_30.xlsx,0.489907762,3.4331
4,0.342573876,0.334218313,0.267740462,0.267087087,9.875,6.583333333,3.291666667,2.194444444,4.388888889,-0.018585182,-0.074915358,0.066004479,0.05,F02_Colony_31.xlsx,-0.062619892,2.3161
1,0.903336669,0.498164121,0.319773709,0.233582726,8.625,17.25,3.136363636,2.15625,2.464285714,0.004508062,0.033335609,0.137822692,0.1,F02_Colony_33.xlsx,-0.971555619,2.1035
3,0.652431697,0.484959836,0.266108434,0.220428317,17.75,5.916666667,3.944444444,2.730769231,2.366666667,-0.002976047,0.033215006,0.154166613,0.055555556,F02_Colony_36.xlsx,-0.024361006,2.4335
3,0.426126379,0.315868998,0.183781491,0.150151825,11.75,4.7,3.357142857,2.136363636,1.807692308,0.022857566,-0.564547188,0.072937287,0.104166667,F02_Colony_37.xlsx,0.126860118,2.3446
4,0.375339946,0.310340635,0.202951813,0.164377415,12.125,6.0625,4.409090909,2.852941176,2.30952381,-0.000391204,0.042811195,0.135311009,0.071428571,F02_Colony_38.xlsx,0.144143415,3.0634
3,0.671398612,0.635511727,0.300438828,0.185386531,5.1,2.318181818,2.833333333,1.5,1.214285714,0.008321918,0.124681103,0.083240059,0.057692308,F02_Colony_6.xlsx,0.142313319,1.7267
3,0.573545869,0.330569652,0.305002383,0.217990024,15.16666667,7.583333333,4.55,3.25,5.6875,-0.002309241,0.044510497,0.175304256,0.054347826,F02_Colony_7.xlsx,0.114534798,2.7356
4,0.248443057,0.198495769,0.192547841,0.121589222,11.5,6.9,2.875,4.3125,2.464285714,-0.003958796,0.049220641,0.052370914,0.071428571,F02_Colony_9.xlsx,0.189156639,3.3353
